"","PCo1","PCo2","PCo3","PCo4","PCo5","PCo6","PCo7","PCo8","PCo9","PCo10","PCo11","PCo12","PCo13","PCo14","PCo15","PCo16","PCo17","PCo18","PCo19","PCo20","PCo21","PCo22","PCo23","PCo24","PCo25","PCo26","PCo27","PCo28","PCo29","PCo30","PCo31","PCo32","PCo33","PCo34","PCo35","PCo36"
"Tro",-0.00979829704622826,-0.0023942838491092,-0.000621276730512276,0.00155983781050088,-0.00144889478491335,0.000771412367573952,0.00214791161075763,-0.00143597553787943,0.00096555936092991,0.00161019981738843,-0.00280793661732288,0.00294311400675843,0.00223083558685841,-0.000149895771727628,0.00199672984159462,-0.00125768457709907,0.000268479769897029,-0.000571593379065613,0.00141844677206096,0.000158235594989709,-0.000961792979261948,-0.00152940996634828,-0.00149671077920544,0.00230345644705873,0.00123216870878787,0.00348709554345486,-0.000480323865887745,0.000409105233679355,-0.000452874268505664,7.34507352597617e-05,0.00240941805952145,-0.00186795064428932,0.000380566702332705,-2.26014793477794e-05,0.00037693154437822,0.000885314597421588
"Ber",-0.0120849569503903,-0.00596238282556003,-0.000982992578567573,-0.000272758301490543,0.00123485745425778,0.00115408755861485,0.000369597425221289,-0.00100579990168836,0.000493340792700452,-0.00136783479788797,0.00185094482780737,0.00318356190223742,0.00190482419019356,0.00191544630574554,-0.00264605348498783,7.11265256259886e-05,0.00127035612471738,0.000418110466746531,0.00167230050021789,-0.000134784219416199,0.00232753522616572,0.00390051215158573,9.52754638789509e-05,-0.000664238431241682,-0.000805170686254365,-0.00128608332760891,-0.00209869550835822,-0.00114486274609826,-0.00187838612009362,0.00123235686065278,0.000302986934190143,-0.000683252511640743,-0.000141948271460645,0.000600783058947897,-0.000263223851487516,0.000697608300485965
"Flo",-0.0157453165082131,-0.00615973127036684,1.03707210515009e-05,-0.00156951021620104,-0.00197639373818508,0.00264458482336135,-0.000226918009698161,0.00342344535218591,0.00167553857745343,0.00137930482925704,0.00017370512954981,-0.00106843633760805,-0.00133901755491141,0.000136773559789055,-0.000410815512965483,-0.001381385200911,0.00114591150680492,-0.00107705363726356,0.000135273986319169,0.000725787986327136,0.000307254098369897,-0.000302779471582793,0.000644431103450614,0.00137012745057942,0.00147471256111488,-0.00147044833654351,0.00387583220055018,0.00109367780329986,-0.00206867398478334,0.00294142762152575,0.000438751695930833,-0.00042665851548667,-0.00076921206147039,-0.00128002584183253,-0.000845345229859091,-0.000210574175836363
"Gul",-0.00796642273808929,-0.00692980627468281,0.000514015898579023,-0.00140064524145958,0.00119885142942465,0.000947699004640745,-0.00031974777015081,-0.000264431666285176,0.00103106115238753,0.00144559624418499,0.00196777359334581,-0.00137094583957084,0.000891617062843719,-0.00261403187281244,0.00092151405333476,0.000573387919824584,-0.00106010037931402,-0.000124513042528116,-0.000219689163827762,0.000300809246953037,-0.00189590825606502,-0.00202940817863936,-0.00272198359864733,-0.000776889670421528,0.00113594530369451,-0.00310270977456589,-0.00331718317170331,0.00171873756516112,-0.00106737047912163,-0.00182327449977786,0.00014859639747406,0.000792814427515481,0.000850517894362761,0.00026061612781351,-0.00102889291326411,0.000810205697492023
"Kav",-0.00552370247028052,-0.00500969466766578,-0.0017474847129294,0.0028864366634009,-0.00139622171926119,-0.00163908202671391,0.000395833193859857,-0.000326853205968745,0.0014256361651052,0.00139151530424647,-0.000564569819933318,-0.0015150834833232,-0.00102573949217718,0.00211107150157296,-0.000243325672269219,0.000167500868122135,-3.05131053641752e-05,0.00206074789590045,-0.000825780373800709,-0.00130673974553349,0.000190559937482118,0.000123744093721942,0.003155004227334,-0.00375379815137728,0.00285539538123433,8.3898214342927e-05,0.000786477822674286,-4.22580163457631e-05,0.000757490084832475,-0.00144118296854572,0.00166689740196444,0.000818297242585594,-0.000471805702691982,0.0004766572545022,-0.000289407390092737,0.00165474691689189
"Lys",-0.0132635716424224,-0.00659518061289986,0.000115685440054677,-0.000950582343704971,-0.000390921051418705,-0.000397851853948474,-0.00258340624453216,-0.000296642968834471,-0.00253604655336172,0.000634018659857899,-0.00261582928282324,-0.00169201394526209,0.00298013200455632,-0.000102090728923324,-0.000528719744663418,-7.63715681266762e-05,-0.000707250533499912,0.000328175505328723,-0.000236784463017304,-0.00104746427802108,0.000952986722045438,0.000973784692809591,-0.000710876931067595,-0.000912180003976639,-0.00193210795029367,0.00194665927220164,0.000396068325755302,0.00330133357250858,0.00289732153128799,0.00176719686659639,-0.00206883761934173,0.000600577079375738,-0.000413424295221593,-0.000383184479496285,-0.000560143232915684,0.000499821933101737
"Sin",-0.0118118076834964,-0.00556897393856792,0.00253403408036215,0.00109724004366958,-0.00160145183471534,0.00155127191219096,-0.000448090334301185,0.00107178124885301,0.00150038547523425,-0.00462788056058458,-0.000783999814767226,2.56078902181458e-05,-0.000851512044275391,0.000664896491764283,0.000607509278715491,0.00116344808733433,-0.00085611420296631,-0.000223915834022962,-0.000606028995941988,0.000830937810122104,-0.000837170546963869,-0.00111820786553262,-0.00136728237868616,-0.000494624378969806,-0.000101550640703944,-0.000408619692487189,-5.19650860358395e-05,-0.00356742570070241,0.00391674010903964,0.000266816199514422,-0.000217090461209653,-0.00201820123567651,1.50005241434759e-05,0.000124348434326008,-0.00116454778617183,0.000157379840420968
"Hel",-0.0116019220088042,-0.00582327242849324,0.000122889339593989,3.95952199406176e-05,0.00149384409126712,-0.000802422448850806,-0.000658399715362793,0.00101186884306013,-0.000836053038192116,0.000877881390024605,7.04587068746667e-05,0.0022851666701544,-0.00420634692129432,-0.00162818810644054,0.00098891076882601,-0.000213951011122872,-0.00112959644440038,-7.7646220325105e-06,-0.000333366308478189,-0.000509364493735878,-0.000677825663128359,-0.000210364496753037,0.00415778677482354,0.00306683133845981,-0.00286508130036999,0.00093509811953782,-0.0017110587314375,-0.00032682066322788,0.000512269743379301,-1.53430062698232e-05,-1.05941028911853e-05,0.00114501763135464,1.44334217988751e-05,0.000741514031659144,-0.000501861192984332,0.000549327678513322
"Oos",-0.0258633080548934,-0.00542961907884779,0.00620286828850653,0.0047791116648718,-0.00129246961377375,-0.00291693859576188,0.0023657162450476,-0.000948209431445852,-0.00208717231058905,0.000253432484101062,2.38609953553413e-05,-0.000680040295443172,0.000244502836003836,-0.000369699534735087,-0.000317912577127494,-0.000314220258640464,0.000418181176839698,-8.09987026476338e-05,0.000280870719040248,-0.0004516572085838,0.000374745363783059,-0.000183737525641328,-0.000158495887495822,-0.000636939340326973,-0.000585355318079137,-0.000314913230986919,0.00053447138393689,2.44413937864453e-05,-0.00208769280475293,-0.000848969050710938,0.000223690615177319,2.28606311203863e-05,-0.000282810549252381,0.000521089512364769,-0.000383004281171263,-0.00194637877654413
"Cro",-0.0114872514686735,-0.000699082440066762,-0.00246057361957563,0.00214240053760556,0.000494101106837544,-0.00117863975915088,-0.00118836826866565,-0.00167268102393604,0.0010063727801088,-0.00148402657521424,0.000882878145232542,-0.00236527399457027,0.000993356559402416,-0.00409107192686731,0.000572669672075515,0.000620140853200456,0.00254778962264885,0.00029994823314534,-0.00122991744015936,-0.00116039049418166,0.00116426949525695,0.00111242790597483,-0.00047809037939955,0.00328506526976347,0.00113313103823473,-0.000115434139374729,0.00167887626790602,-0.00175246194480832,-0.000248594820327342,-0.000582084686128219,-0.0014645937298504,-9.16403458788521e-05,-0.00155206259584736,0.000919643656679486,0.00113391221473974,0.000682520179445017
"Brd",-0.0125546414523469,-0.00123893823864519,-0.0017068950434866,-0.000763384252004091,0.00199030396195573,9.73575749374832e-05,-0.000662867735778141,0.00104163886894998,0.000447870471163486,0.00057968479984047,-0.00195004369594919,-0.00162439919685004,-0.00216503540112019,0.00223971323356095,-0.00119890442841989,0.00183782737105806,0.00174570801125977,0.00149329230461633,0.000170751393822735,0.00153997253924785,-0.00170052725728737,-0.0011065121728224,-0.0029738707070806,-0.00105956806541087,-0.00223346147061225,0.00282333307604872,0.000272621182855258,-0.00190634060215629,-0.00300596713350066,-0.000761098430071272,-0.00104636585970336,0.0010849278249343,9.21705202410427e-05,0.000375403174856155,0.000773753068470208,9.83282743571407e-05
"Eye",-0.00654045977172272,0.00120448347082473,-0.000673346599501217,0.00284163517182403,-0.00433816757552233,0.00130082307821775,-0.00320637834037663,0.00167741979972725,-0.00328008176934708,0.00138150282499958,0.00375872946351628,0.00155143762507041,1.93005903718966e-05,0.000817249746049567,0.000426994134761747,0.000652839780990951,-0.000133845389866289,-0.00100966563226508,-0.000865142408266263,0.00191295863194748,0.000474175168034238,-0.000405056361963233,-0.000334468949808399,-0.000241735043518034,0.000853842221816233,0.00164033093582204,-0.00113213258740307,-0.000145853389748791,-0.00086649158923242,-0.00113272011804723,-0.00207141158369449,-0.000715070972826676,-0.000665836030219338,-0.000580243935148655,7.26048418895491e-05,0.000449400127833793
"She",-0.0115703190944752,0.00146877541863639,0.00106999958099918,-0.00363306921298394,0.000858450299042248,-0.00156560640023777,-6.1262936795399e-05,-0.000287550552559669,0.000549212843476693,0.000937791054578368,0.000584533094984122,0.00263428245743106,-0.000659343551635439,3.57788118573224e-05,-0.00124498774601264,-0.00326776994618223,0.00306108333057782,0.000674375619740713,-0.00349297608832413,0.00127614825202472,0.00163924640419522,-7.55780838339154e-05,-0.00134313895011518,-0.000167478027466692,0.0012604412227138,0.000750118515456322,0.000361239747840494,-0.000132594353031147,0.00257709338230221,-0.00260016976337536,0.000248670335316175,0.000936174931827016,0.000339839005008039,-0.000991285611741663,-0.000178957309293507,-0.000677125586197697
"Ork",-0.0159525153129056,0.00227373711670384,0.000686529240792944,-0.00129238023235416,0.000963621053856147,0.00185491541301502,-0.0015314576766132,-0.00366617007654635,0.00245120477352951,0.00182312144247581,0.00196211500947414,0.000535693783586035,-0.00108145272004644,0.00190924305565342,0.00194259016307306,0.00177593388573562,-0.00268322226259842,0.00141433614721591,-0.000933253064616427,-0.00114937413195298,-0.000232787787492601,0.00128073530673567,-1.17550923128074e-05,0.000187567877769035,-0.000642438041440222,0.00020629713655234,0.00228475049266804,0.0015323076126999,0.000223249861301391,-0.0010473745279108,-0.000686625681072388,-0.00267981195190643,0.0001110357214895,0.0006105344613736,0.000626909691365406,-0.00106074325588396
"Sul",-0.0133667813110402,0.00256813392001932,-0.00219123845160662,-0.000106245325456984,-0.000793776644674831,-0.000463008811853082,-0.000299072480760813,0.000767542728446593,-0.000482197840030239,0.000638700209367091,-0.00091293773581609,0.000882978573553545,-0.00125480912160302,-0.00278949005507488,0.00155285643988254,-0.00337536645201714,-0.00331592949156151,0.00248902186479533,0.00277227710027877,0.000662119073185713,0.00165596058998352,0.000490641452576218,-0.00166678945973139,-0.00261146592780661,-0.000795735752294792,-0.00158028680359891,0.000363613147892465,-0.00188128953930928,0.000136888361355376,0.000466862902679114,-4.78408762048608e-05,0.000103267508616297,-0.00105851340626841,-0.000738175674495136,0.00128486270674371,-0.000279569467800638
"Heb",-0.0127151347616027,0.00406997678383546,-0.000272621584821612,-0.00187185975675996,-0.00202935651614195,-0.00180228838235357,0.00113510046861096,-7.49502911614975e-05,0.00135332930977052,-0.00329763938715531,0.00118509517208791,-0.00170355328102533,-0.00128407628104544,-0.000232693660883382,-0.00199688941394139,0.00100908530020995,-0.000397271014421187,0.00269702343175047,0.00189445552355541,0.00104764077049201,0.000161807564947304,-0.000540376612105932,0.000818905032071405,0.00147152879352607,0.00103459233171258,0.00181118044040889,-0.00277632111041805,0.00324532915446039,1.41362018706215e-05,0.000143715874603821,0.000630056078924514,-0.000783184367462167,-0.00139939386018467,-0.00186083577621516,0.000407091160678473,-0.000491875765198079
"Sbs",-0.0116305294311081,0.000279058626083422,-0.00169806578875912,-0.000973367204637783,0.000665327903567037,-0.00153011223046842,-0.00100926307198519,-0.00194073011727574,3.57702939107496e-05,-0.00190029416680156,-0.00159236472744369,-0.000159994812865288,0.00138915355131901,0.00252618759510636,0.000812274658672359,-0.000318517803055985,-0.00104053122349118,-0.00378167729996556,0.00122652378720171,0.00344346277219104,0.00145361223760137,-0.00250108560756917,0.00223851630426086,0.000557982516927875,-0.000415695446935841,-0.00237371270760657,0.000896722207711114,0.000484568273613524,-0.000563560791396708,-0.0021080783266718,-0.000633942297911817,0.000806769865586897,-0.000548693385078866,-0.000153288588467538,0.000842906238620639,8.78775949865758e-05
"Jer",-0.011829520505358,0.00103269639287255,-0.00175388460210915,-0.00244276756663546,-0.0023300836558083,-0.000386646465166779,0.00267658533655327,-0.00147394701996178,-0.00194456342665861,0.0020124149203755,0.000537925575499041,-2.62274902710515e-05,0.000288574845084698,-0.00150743463874802,-0.00164043156314195,0.00267966512661271,0.00136891186396922,-0.00183447261415851,0.000812992021892779,-0.000808024226662035,-0.00305295930199451,0.000678614529375032,0.00116656743604305,-0.00106187027189143,-0.00151080245033409,-0.00129705275081341,0.000870623959394105,-0.00184834283368578,0.00164019872972404,-0.000372575979888557,0.000426735500169039,-0.000905016897471217,0.000693594232671398,-0.00268446403880159,0.000803266050872264,6.64130580042632e-05
"Iom",-0.00394190116446878,0.00184379785126481,-0.00106982614529922,-0.000444620588391782,0.000570635775801781,0.00150690528482997,0.00324139295033218,-0.000961095507603283,-0.00190296913689615,-0.00274873809022049,0.00195405369337577,-0.00103351033928016,0.00153310230784786,-0.000360266723972716,-0.000358716371936194,-0.00216159032254399,-0.00216574588834081,0.0016762178361184,-0.00359759658529962,0.000456847804715933,-3.36244055804945e-06,-0.00155089615894134,0.00108279386054592,-0.000266112496879356,-0.00157815170903736,0.00104324371159974,0.00166299628007257,-0.00019374210956296,-0.00191745704928862,0.00101335870463816,6.13984768105876e-05,6.06594135303427e-05,0.00262753178270105,-0.000280459462247675,-0.000102916522155169,0.000771503363698562
"Lyn",-0.00702135739144197,0.00197794731768424,0.000920124806822363,-0.000653086450131911,0.0023623973322814,0.000281006754693817,0.0019521467147647,0.000764730472262684,-0.00174846613622428,-0.000161277145754089,-0.000250072285383979,0.00029077469478018,-0.00123706602340738,-0.00141426010639965,0.00170678159808979,0.00413291504880564,-0.000823400528630199,-0.000808596799520681,0.00105299397377764,0.0025447351381995,0.00274792956427332,0.00223295460688078,-0.000605720904906012,-0.000346539494399021,0.00308250111437799,0.00128465173636267,0.00124773024448304,0.000490867658406152,0.000743851698811269,0.000655507482469125,0.000628488845407446,0.00168782847971417,0.00228315572794125,0.000371692093904331,-0.000169668033791623,6.82131834255399e-05
"Pem",-0.0114941685096866,0.00209983425904667,-0.00082436275562275,-0.00143653091153937,0.00133868389584651,-0.000270960380133361,0.000503119556962506,0.000748731036004213,-0.00210205832456975,-0.00112520625989383,0.00189771407045585,7.9317539354237e-05,-0.000482583758124836,0.00295407057569837,0.00242738923853497,-0.000408177295094262,0.00125315626261119,-0.000324865645572676,0.00200699561465435,-0.00558879567093432,0.000806226283589578,-0.00275526372260334,-0.000929464393396283,0.000539219298161577,0.00160766374609112,-0.000211444738903754,-0.000414515641318642,-0.000615085231476577,0.00060241785438258,0.00100950505226854,-0.00069425877237701,0.00119901694808465,0.000472695035855187,-0.000350775776774144,0.000462403771921522,-0.000266439304056422
"Loo",-0.00598472515829215,0.00448776338868447,0.000124018944432005,0.00120262909475226,-0.000772306992574214,0.00187802413452048,-0.000743978663630867,-0.00017770224433137,-0.000604198137603448,-0.000362469163940934,-0.00413504908846938,0.002701937675214,-0.00122561816272537,-0.000946133560907586,-0.00386340043519303,0.00183838727110469,-0.000647850460387325,0.000902222009098826,-0.00134488589820659,-0.00239007570569991,0.00122645688833801,-0.0018224047065961,-0.000440646310474608,0.000784154453032298,0.000960510429156746,-0.0027196469972162,4.86415437352526e-05,0.00127785727826227,-0.000993801990938271,-0.000541596715268978,-0.00106686763784958,-0.000175464368478266,0.000915781832932881,0.000256089650998801,0.000192217532513963,3.35147062252686e-05
"Pad",-0.0126185812980657,0.00409525929204349,0.00166915586807191,-0.00215491750646614,0.00165216673263988,0.00247421404762183,-0.00213077552719182,0.00130883644254719,0.00100846057479151,0.000886336113754575,-0.000832046858278895,-0.00148328655810929,0.00291686877089502,-0.00167349629558596,-0.0012731485514065,-0.00069980363792978,-0.000557435623130527,-0.000466572847007589,0.00111404812338984,-0.000773566969093965,-0.000173933258191161,-0.000480880747303811,0.00371765025757999,-0.00109191066960733,0.00193988131258878,0.00238716895113918,-0.00157872833413649,-0.00267057952688786,-0.000694680949881381,-0.000805624367592541,-0.000428712098918021,-0.000410493864800315,0.000763880967121573,0.000653216977279013,-3.30187408635534e-05,-0.00125724699138043
"Ios",-0.000456817279443179,0.00376328233353883,0.0014887552091589,-0.000584029193842935,-0.00130930607225335,0.000195976341253206,-0.000864289197586107,0.00210788407962114,0.000551533377662926,-0.0021949333417887,-0.000767987518051029,0.000768987974483251,0.001445860732989,0.000141271724596914,0.00229765632767113,-0.000601785847347341,0.00154893627412912,0.00163071320602273,0.0021637839150953,-0.000802573158296898,-0.00232302966343877,0.00298831590953389,0.000394836147015578,0.00062854007059767,-0.00162178866591189,-0.000822193640671468,0.0018894799052686,0.00133360697301253,-0.000899407662251959,-0.00348766833551085,-0.000182627439834453,0.00126272432100006,0.00128314893051439,-0.000327725099985024,-0.00102334119794329,0.00038223782520811
"Mul",-0.00862541984114848,0.00452842625194199,-2.43052244926743e-05,0.00240868119219366,0.00134465093119807,0.00260199491993462,0.000123314431109524,-0.00195867431491552,9.79116446324273e-06,-0.000560703507995874,0.000240471233498213,-0.000702778013077953,-0.00232635890753348,-0.000888904694281753,0.000306811754839796,-0.00229235123500914,0.00403498078959634,-0.00110760279879463,0.00146511204431332,0.00146289122769733,-0.00134126983553041,-0.000310451019894569,0.000784428966562385,-0.00237573196977361,-0.000562462352860048,-0.000454876357066536,-0.00082568429634634,0.00251582276206169,0.00151323715387956,0.00182181658170133,-0.000871563537949824,-0.000940434639558147,0.00112524898980554,0.00177003114020128,0.000550558073771744,-5.98390345796582e-05
"Kil",-0.0119757355575388,0.00509598258015263,-0.000165317989766913,-0.000139512941974678,-0.000386355632353986,3.33726685328301e-06,0.000430557741242239,0.000883201343686081,-0.000822266927171323,0.0014518119784133,-0.00230023467055898,-0.0014662519507024,0.00127839537355426,0.00204843271798675,0.00332380862460705,0.000707260558407449,0.00126140466115973,0.00204286325312551,-0.0033225783342375,0.00134780825259791,-0.000101329678865626,0.0015345178468844,0.000818222450659427,0.00137445675675979,-0.000127776112043699,-0.00278076519694439,-0.00334610871948828,-0.000839912603497228,-6.98214959493387e-05,0.00208424097250427,0.000722873626929353,-0.000297404282886734,-0.000263422536641673,-0.000345065531549669,0.000488452854375011,-0.000598223661622422
"Ven",-0.0141122900785608,0.0037149088987655,-0.0010086752769068,0.000915163080773193,0.00187708332869789,-0.00211694518380095,-0.000609588798763346,0.00178543933282,0.00114804280748314,-0.00167911721942072,0.000828314293094677,0.00324005977108341,0.00164532141497027,-0.000539549732693021,-0.000297520787065131,0.000812362325498297,-0.00129419316782052,-0.00137399534409258,-0.00201188933892327,-0.000178005462715399,-0.00423169391397798,0.000381346352033146,-0.000241102450244418,-0.0016650838491102,0.00104521321115183,0.00028225075038428,0.000810418399324819,0.00118086911850642,-6.37604765928753e-05,0.0023080752981484,0.000619350327406753,0.00178258179517103,-0.00205051859479748,0.000780103798862327,0.000854391453083223,-0.000595805007486726
"Cor",-0.00544022807328233,0.00400461509538368,0.000561032344659339,0.0017695606199985,0.00145098704561892,-0.000602397848805462,-0.000387353658757105,0.000449637497142266,-0.000642008234444947,0.00247477497749843,0.00176850674763944,-0.0014036414162085,0.00114076627086167,0.00190124356564812,-0.0034407935442346,-0.000929888993106611,-0.00147140856311153,0.00147492572824454,0.0021600155048539,0.00147410925109642,-0.00130852032013159,-0.000324455262951732,-0.00104462976899809,0.0035213764867983,-4.37115109223336e-05,-0.00126383456196214,0.00117125901321467,-0.000879345034984378,0.00280010111604171,0.000476628961095831,0.00137309308175169,0.000973834873858171,0.000606863959468702,0.00156170181591833,-0.000110602045780533,0.000179401686442068
"Hoo",-0.00847461392293442,0.00249656038400599,-0.00043579691381854,0.000684870354448883,-0.000771893618072406,0.000358534352552163,0.00102293372116357,0.00119863333186011,0.00125758109230039,-0.000238073627104707,-0.000591771715873489,-0.00261899879497831,-0.0018310841253159,0.000908414231417101,-0.0010480165462409,-0.00203307975825125,-0.00225705941869091,-0.00488021138155705,-0.00149768380533229,-0.00210448761732407,0.000561655676136721,0.00346138757810658,-0.00185364227508476,0.00051069258347356,-0.000614152880398377,0.000801822823866742,-0.00174385787248642,0.000420376250302457,-7.35969840925973e-05,-0.00123629370154185,0.0010104907386362,0.00017138940928216,0.000523987238347976,-6.68967365299597e-05,0.000625778977609226,0.000130818128019672
"Idr",-0.00303522543514709,0.00680538759281561,0.000293826180066075,0.00026474202901386,-0.000239405246756217,-0.000934828428413144,0.000183686416936785,0.00131141753788105,0.00314977005042849,0.00131990118644146,0.00138886468253434,8.01546145979762e-05,0.00134534047706837,-0.00108919859200955,0.000508224186569888,0.00213759443188774,0.00113367973111309,-0.000913550204474784,-0.00015877260112003,-0.000712203855289321,0.00366994779861986,-0.00249022175994297,-0.000212148216281918,-0.00131585892389333,-0.00429264616682759,0.00035787749768169,0.000183817144799153,0.000235217459855662,0.000334150545247564,0.000703108487307856,0.00209819566331805,0.000215123836554451,-0.000682812619394298,0.000327724286118425,-0.000887372710400032,0.000128478663561783
"Vig",0.00357515204022077,0.00993891643811054,0.00117956658826187,-0.00256007728078729,0.00148498191920014,-0.00310534326798662,-8.37016470593438e-05,-0.00261555066178933,-0.0011772518699819,0.000548169917311314,-0.000857741501514213,-0.000254729085179784,-0.00125755942146648,3.30693946472162e-05,8.30736819477171e-05,-0.000844550403800109,-0.000494779636169459,-0.00102062438739348,0.000289641846434555,-4.05377633724782e-05,-0.000864647286229843,0.000528286978467721,-0.000557357824944058,-0.000228629391138349,0.00112370597703197,0.000205849105120914,0.000200078894791809,-0.00123628479896093,-0.00173579804755294,0.00138759296407774,-0.00126714618510804,-0.00172761391653016,-0.0019230034600369,0.000103245994124907,-0.00280182570891817,0.000889069063348197
"Sar",0.0545632169247335,0.00656382833387683,0.00798853890179169,-0.0016402741953812,-0.000601820443220574,-0.000419040793706431,-0.0002215744216495,0.000601990960235845,0.000565501828547197,0.000338887698525597,0.00028138487987316,5.77997168402593e-05,-3.17109771185054e-05,0.000134932356293069,-6.42072763849417e-05,-7.73154725926151e-05,1.66718334708945e-05,1.71403715353901e-05,-4.21436898940756e-05,7.59376915893041e-06,0.000104738384204521,-0.000164885818524988,0.00025874229947023,-0.000244930369905315,-3.44773726067338e-05,-0.00025589322922697,0.000155182703331649,-0.000133467860034008,-0.000354084151371546,0.00082806553430348,-0.000629960727814711,-6.1491677454289e-05,-0.000317122567972867,2.12741292185088e-06,0.00234215832298843,0.00167465303343822
"Laz",0.0499672177570714,0.0136732945980797,-0.00177658867947928,0.00529097775455383,0.00297820275147196,0.00108924389517536,0.000363293080473433,-1.1182358859171e-05,0.00130377661886337,0.000449129278297501,-9.44150738029625e-05,0.000162232942563106,0.000280975745008276,0.000216849047362368,3.33747577378997e-05,-0.000120408274805558,-0.000226316064317413,6.36078071729578e-05,0.000169042467487092,8.4529103781318e-05,2.77395644264993e-05,0.000134626247392343,0.000174484565463823,0.000267168641553424,8.55435653161394e-06,0.000187087337696487,-0.000274483271960554,-1.42531818809165e-05,0.000454105131950552,-0.000314571434317743,-0.00131481209031458,0.000465644793141979,0.000124602778389349,-0.00346338873945099,-0.00101775222346495,-0.000456141391761845
"Tar",0.0523334712350654,0.011840780083597,-0.00361960761987575,-0.00183704012766228,-0.00430285218618551,-0.000464938885693391,-0.00049354970835207,9.43108080164606e-05,-0.00147856846642402,-0.000636590736635063,-0.000161306784269773,-0.000184293446621723,-0.00027434366117937,-0.000320818932714811,-6.16828522831509e-05,0.000205162212468448,0.000231293162187679,-1.98829990275875e-05,-0.000116688993043878,-0.000108557465693559,-5.73606856866453e-05,4.98713664655811e-06,-0.000280770153898717,-0.000117446635072359,1.32454683050452e-05,-1.56615574860628e-05,0.000163309184102089,0.000125448288432789,-0.000127155339333442,-0.000284876721104187,0.00160475694525474,-0.000194614324550311,0.000516569136232754,0.00339901680297601,-0.000598889727880462,-0.000925326022845986
"Sky",0.0408985126067142,-0.0115851076058573,-0.000993591345617468,1.48182718723296e-05,0.00465361983853741,-0.000386865865049699,-0.000909074627980994,0.00247998925163779,-0.00309737815019822,-0.000688266160642381,-9.24760437959571e-05,-0.000513580619876104,-3.54685896787068e-05,-0.000289440851395027,-0.000162205211714097,0.000124766209224065,0.000484863558958347,4.20654019585207e-05,-0.00030980084681706,-0.000215256795906769,0.000179807900291643,-0.000146976460609374,1.95394697296148e-06,-0.000403505939742915,-0.000192965680720522,-0.000408295653973981,0.000633126702974584,0.00105464050349585,-6.38036032946255e-05,-0.00163007780706927,0.00269490921699416,-0.0038915885091644,-0.00114668405344035,-0.000304739309757572,0.000422600498095419,-0.000231444395951693
"The",0.0379026626133341,-0.0128666852326945,-0.00199137321579305,-0.000620086598986445,-0.000625492623892955,-0.0020536507196885,0.00427769074322045,0.00196415088743839,0.00230013648251261,0.00130936258189043,1.49238400030053e-05,0.000544332343912038,0.000752278697332835,0.000388852089519951,4.48700748024491e-05,-7.21942007718119e-05,-0.000435675304008528,2.06403041585782e-05,0.000295049946425613,0.000286247853588479,0.000117635387612615,-3.27793688256804e-05,0.000339995304563667,0.000206698857056185,0.0001971577175694,-6.85700235607148e-05,-0.000374473501840056,0.000243772096438584,0.000657401422179823,2.92291454788368e-05,-0.00471622315465051,-0.000848940097022341,0.000583659698413598,0.00136953394037641,4.39948811740163e-06,-0.000562008393229442
"Tor",0.0385777973832528,-0.0140590890305181,-0.000229729677810095,0.00034303880467304,-0.00137980912732275,-0.00249327003299295,-0.00433901809088849,-0.00274527786016501,0.00134976386846009,-0.000465547605456161,9.8098581885795e-05,5.77843087929851e-05,-0.000555829557145892,-0.000196029133672095,7.0099982361924e-05,-0.000198624499959464,8.72433512577053e-05,-0.000259789177261022,0.000103856193931816,-8.08045673562859e-05,-0.000280720082395575,0.000126786322792678,-0.000323911687357286,0.000136707475616979,0.000234557411480978,0.000182650566418492,-0.000295336858344254,-0.000874347133291176,-0.000913244852852193,0.00232035692879178,0.00133541753052731,0.00117242756113673,0.00316479987626997,-0.00146982233096662,3.8339511051472e-05,-0.00071588871172562
"Ale",0.0366694913616688,-0.0095055989339926,0.000766143123147547,-0.000893992865240396,-0.000625787774455457,0.00481944965078928,0.00178925729062379,-0.0028292250811693,-0.000838359539590665,-0.000204939366333304,-0.000159568502032976,-0.000158185589807322,-0.000156250745356673,0.000119198915575509,0.000173592481889117,0.000135632982256278,-0.000150412329108149,0.000141918961976432,-5.94530354466239e-05,-1.71248546541223e-07,-9.94512981583003e-05,0.000128062257468833,-9.67370415599559e-05,0.00022496273479507,-0.000237688004947577,0.000533828986502511,-6.64681981177076e-05,-0.000482711728293581,0.000365571667527934,-0.000495732733814389,0.000774696384992336,0.00341689454869349,-0.00380181998606281,7.79047866035193e-05,-0.000342767902847795,-0.000562203910220511
