"","Tro","Ber","Flo","Gul","Kav","Lys","Sin","Hel","Oos","Cro","Brd","Eye","She","Ork","Sul","Heb","Sbs","Jer","Iom","Lyn","Pem","Loo","Pad","Ios","Mul","Kil","Ven","Cor","Hoo","Idr","Vig","Sar","Laz","Tar","Sky","The","Tor","Ale"
"Tro",0,0,0,0,0,0,7e-04,0,0.0339,0.0012,0.0042,0.0093,0.0134,0.0124,0.0062,0.0231,0.0073,0.008,0.0216,0.0167,0.0171,0.0108,0.0177,0.0168,0.0166,0.0187,0.0159,0.0203,0.0119,0.0291,0.0506,0.1767,0.1686,0.1703,0.1403,0.1289,0.1334,0.1195
"Ber",0,0,0.0012,0,0.001,0,0.0019,0.003,0.0407,0.0088,0.0067,0.0148,0.021,0.0193,0.0181,0.0291,0.0151,0.0169,0.0262,0.0233,0.0224,0.023,0.0253,0.0264,0.0254,0.0313,0.0248,0.0279,0.0188,0.0395,0.0639,0.1855,0.1833,0.1856,0.1367,0.1282,0.13,0.1196
"Flo",0,0.0012,0,0,4e-04,0,0,0,0.0439,0.0157,0.0112,0.0206,0.0334,0.0291,0.0246,0.0383,0.0264,0.0251,0.0379,0.0359,0.0335,0.0346,0.0332,0.0385,0.0351,0.0383,0.0373,0.0389,0.0234,0.0502,0.076,0.1911,0.196,0.1937,0.149,0.1388,0.1426,0.1321
"Gul",0,0,0,0,2e-04,0,0.0037,0,0.0465,0.0085,0.0094,0.0169,0.0254,0.021,0.0204,0.0331,0.0212,0.0193,0.0275,0.025,0.0271,0.027,0.0252,0.0279,0.028,0.033,0.0299,0.0281,0.02,0.0395,0.063,0.173,0.1771,0.1775,0.1234,0.1156,0.1173,0.1068
"Kav",0,0.001,4e-04,2e-04,0,0.001,0,4e-04,0.0342,0.0061,0.0086,0.0138,0.0267,0.0213,0.0191,0.0304,0.0183,0.0194,0.0292,0.0289,0.0267,0.0267,0.0308,0.0307,0.0285,0.0301,0.028,0.0292,0.02,0.0398,0.0622,0.1699,0.1615,0.1624,0.1232,0.1121,0.1145,0.1078
"Lys",0,0,0,0,0.001,0,0.0026,2e-04,0.0351,0.0126,0.0106,0.0162,0.0285,0.0245,0.0212,0.0353,0.019,0.0227,0.0353,0.0317,0.0302,0.0291,0.0267,0.0331,0.0346,0.0326,0.0326,0.0331,0.0239,0.046,0.0681,0.1871,0.1898,0.1884,0.1389,0.1325,0.1316,0.1243
"Sin",7e-04,0.0019,0,0.0037,0,0.0026,0,0.0045,0.031,0.014,0.0156,0.022,0.0341,0.0304,0.0274,0.0341,0.0226,0.0303,0.0345,0.0317,0.0326,0.0312,0.0358,0.0334,0.0337,0.0381,0.0314,0.0382,0.0232,0.0489,0.0734,0.1785,0.1834,0.1845,0.141,0.1331,0.1331,0.1227
"Hel",0,0.003,0,0,4e-04,2e-04,0.0045,0,0.0379,0.0105,0.0071,0.0161,0.0239,0.0216,0.0167,0.0311,0.0197,0.0196,0.0309,0.0248,0.0253,0.0257,0.0283,0.0305,0.0286,0.0313,0.0262,0.03,0.0206,0.0415,0.0626,0.1823,0.1822,0.1847,0.1348,0.1284,0.1296,0.1215
"Oos",0.0339,0.0407,0.0439,0.0465,0.0342,0.0351,0.031,0.0379,0,0.0415,0.0517,0.0491,0.0608,0.0565,0.054,0.0582,0.0541,0.0528,0.0616,0.0579,0.0587,0.06,0.0655,0.066,0.0565,0.0593,0.0558,0.0584,0.0532,0.071,0.0889,0.2109,0.2179,0.2245,0.1788,0.1715,0.1723,0.1642
"Cro",0.0012,0.0088,0.0157,0.0085,0.0061,0.0126,0.014,0.0105,0.0415,0,0.003,0.0132,0.0079,0.0031,0.0028,0.0097,0.0011,0.0028,0.012,0.0081,0.0104,0.0112,0.0096,0.0122,0.0044,0.0115,0.004,0.0109,0.003,0.0163,0.0408,0.1826,0.1679,0.1719,0.1445,0.1383,0.1382,0.1299
"Brd",0.0042,0.0067,0.0112,0.0094,0.0086,0.0106,0.0156,0.0071,0.0517,0.003,0,0.019,0.0046,0.0048,0.0049,0.0133,0.004,0.004,0.0175,0.0071,0.0083,0.0102,0.0076,0.0146,0.0103,0.0098,0.0101,0.0085,0.0056,0.019,0.0378,0.1831,0.1749,0.1777,0.1444,0.1393,0.1422,0.1305
"Eye",0.0093,0.0148,0.0206,0.0169,0.0138,0.0162,0.022,0.0161,0.0491,0.0132,0.019,0,0.0245,0.021,0.0166,0.0283,0.018,0.017,0.0247,0.0244,0.0218,0.0236,0.0267,0.0248,0.0237,0.0249,0.0232,0.0199,0.0197,0.0317,0.0502,0.1633,0.153,0.1506,0.1403,0.1353,0.1354,0.1239
"She",0.0134,0.021,0.0334,0.0254,0.0267,0.0285,0.0341,0.0239,0.0608,0.0079,0.0046,0.0245,0,0.0023,0,0.0031,0,6e-04,0.0055,0,0.0038,0.0022,0,0.0039,0.0011,0,0,0,0.0044,0.0034,0.017,0.172,0.1732,0.1722,0.1487,0.1429,0.1471,0.1337
"Ork",0.0124,0.0193,0.0291,0.021,0.0213,0.0245,0.0304,0.0216,0.0565,0.0031,0.0048,0.021,0.0023,0,0,0.0084,7e-04,4e-04,0.0138,0.0042,0.0028,0.0069,9e-04,0.0128,0,0.0011,4e-04,0.001,0.005,0.0091,0.0273,0.184,0.1787,0.1833,0.1619,0.1566,0.1573,0.1426
"Sul",0.0062,0.0181,0.0246,0.0204,0.0191,0.0212,0.0274,0.0167,0.054,0.0028,0.0049,0.0166,0,0,0,0.002,0,0,0.0054,0.0013,0,0.0011,0,0.0049,0,0,0,0,0,0.0076,0.0227,0.1823,0.17,0.1704,0.1557,0.1488,0.1529,0.1404
"Heb",0.0231,0.0291,0.0383,0.0331,0.0304,0.0353,0.0341,0.0311,0.0582,0.0097,0.0133,0.0283,0.0031,0.0084,0.002,0,0.0033,0.0019,0.0015,0.0044,0.0012,0.01,0.0058,0.0029,0.0058,0.0053,0,0.0015,0,0.0044,0.0212,0.1758,0.17,0.167,0.1588,0.1503,0.1553,0.142
"Sbs",0.0073,0.0151,0.0264,0.0212,0.0183,0.019,0.0226,0.0197,0.0541,0.0011,0.004,0.018,0,7e-04,0,0.0033,0,0.0013,0.006,0.0023,0.0017,0.0046,0.0029,0.0053,0.0027,0.0035,0,4e-04,0,0.0086,0.0247,0.1796,0.1709,0.1718,0.1463,0.1401,0.1421,0.1314
"Jer",0.008,0.0169,0.0251,0.0193,0.0194,0.0227,0.0303,0.0196,0.0528,0.0028,0.004,0.017,6e-04,4e-04,0,0.0019,0.0013,0,0.0081,0.0029,0.0017,0.0046,0.0058,0.0102,0.0037,0.0023,0.0016,0.0014,8e-04,0.0086,0.0249,0.1789,0.1731,0.1674,0.1506,0.1402,0.1474,0.1308
"Iom",0.0216,0.0262,0.0379,0.0275,0.0292,0.0353,0.0345,0.0309,0.0616,0.012,0.0175,0.0247,0.0055,0.0138,0.0054,0.0015,0.006,0.0081,0,0.0062,0.0023,0.0086,0.0111,0.0035,0.0045,0.0106,0.0055,0.0037,2e-04,0.0088,0.0212,0.1568,0.1465,0.1467,0.1302,0.1252,0.1324,0.1114
"Lyn",0.0167,0.0233,0.0359,0.025,0.0289,0.0317,0.0317,0.0248,0.0579,0.0081,0.0071,0.0244,0,0.0042,0.0013,0.0044,0.0023,0.0029,0.0062,0,0.0018,2e-04,0,0.0044,0,6e-04,0,0,0.0023,0.0032,0.0135,0.1612,0.1552,0.1589,0.1367,0.134,0.1401,0.1221
"Pem",0.0171,0.0224,0.0335,0.0271,0.0267,0.0302,0.0326,0.0253,0.0587,0.0104,0.0083,0.0218,0.0038,0.0028,0,0.0012,0.0017,0.0017,0.0023,0.0018,0,0.0095,0.004,0.0024,0.0025,0.0022,1e-04,2e-04,1e-04,0.0062,0.0199,0.1757,0.1683,0.1695,0.1484,0.1444,0.149,0.1343
"Loo",0.0108,0.023,0.0346,0.027,0.0267,0.0291,0.0312,0.0257,0.06,0.0112,0.0102,0.0236,0.0022,0.0069,0.0011,0.01,0.0046,0.0046,0.0086,2e-04,0.0095,0,0.0018,0.0077,5e-04,0.0058,0.0029,0.0013,0.006,0.0048,0.0152,0.1569,0.1442,0.1466,0.1424,0.1397,0.1425,0.1256
"Pad",0.0177,0.0253,0.0332,0.0252,0.0308,0.0267,0.0358,0.0283,0.0655,0.0096,0.0076,0.0267,0,9e-04,0,0.0058,0.0029,0.0058,0.0111,0,0.004,0.0018,0,0.0016,0.001,0.0024,0.004,0,0.0035,0.0041,0.0176,0.1711,0.1679,0.1722,0.156,0.1541,0.1566,0.1404
"Ios",0.0168,0.0264,0.0385,0.0279,0.0307,0.0331,0.0334,0.0305,0.066,0.0122,0.0146,0.0248,0.0039,0.0128,0.0049,0.0029,0.0053,0.0102,0.0035,0.0044,0.0024,0.0077,0.0016,0,0.0076,0.0063,0.0066,0.0033,0.0035,0.0038,0.0158,0.1366,0.1324,0.1302,0.1264,0.1235,0.1275,0.1112
"Mul",0.0166,0.0254,0.0351,0.028,0.0285,0.0346,0.0337,0.0286,0.0565,0.0044,0.0103,0.0237,0.0011,0,0,0.0058,0.0027,0.0037,0.0045,0,0.0025,5e-04,0.001,0.0076,0,0,0,0,0.0028,0.0027,0.0147,0.1658,0.1494,0.1579,0.1479,0.1462,0.1481,0.1307
"Kil",0.0187,0.0313,0.0383,0.033,0.0301,0.0326,0.0381,0.0313,0.0593,0.0115,0.0098,0.0249,0,0.0011,0,0.0053,0.0035,0.0023,0.0106,6e-04,0.0022,0.0058,0.0024,0.0063,0,0,0,0,0.0053,0.0038,0.0139,0.173,0.1628,0.1649,0.1574,0.1523,0.1572,0.1418
"Ven",0.0159,0.0248,0.0373,0.0299,0.028,0.0326,0.0314,0.0262,0.0558,0.004,0.0101,0.0232,0,4e-04,0,0,0,0.0016,0.0055,0,1e-04,0.0029,0.004,0.0066,0,0,0,0,0.0015,0.0055,0.0209,0.1815,0.1689,0.1748,0.1577,0.1534,0.1567,0.1467
"Cor",0.0203,0.0279,0.0389,0.0281,0.0292,0.0331,0.0382,0.03,0.0584,0.0109,0.0085,0.0199,0,0.001,0,0.0015,4e-04,0.0014,0.0037,0,2e-04,0.0013,0,0.0033,0,0,0,0,0,0,0.0081,0.1555,0.1426,0.1498,0.1383,0.136,0.1393,0.125
"Hoo",0.0119,0.0188,0.0234,0.02,0.02,0.0239,0.0232,0.0206,0.0532,0.003,0.0056,0.0197,0.0044,0.005,0,0,0,8e-04,2e-04,0.0023,1e-04,0.006,0.0035,0.0035,0.0028,0.0053,0.0015,0,0,0.0045,0.0212,0.1671,0.1559,0.1578,0.1446,0.138,0.143,0.1279
"Idr",0.0291,0.0395,0.0502,0.0395,0.0398,0.046,0.0489,0.0415,0.071,0.0163,0.019,0.0317,0.0034,0.0091,0.0076,0.0044,0.0086,0.0086,0.0088,0.0032,0.0062,0.0048,0.0041,0.0038,0.0027,0.0038,0.0055,0,0.0045,0,0.0035,0.1445,0.1328,0.1354,0.1405,0.1359,0.1411,0.1266
"Vig",0.0506,0.0639,0.076,0.063,0.0622,0.0681,0.0734,0.0626,0.0889,0.0408,0.0378,0.0502,0.017,0.0273,0.0227,0.0212,0.0247,0.0249,0.0212,0.0135,0.0199,0.0152,0.0176,0.0158,0.0147,0.0139,0.0209,0.0081,0.0212,0.0035,0,0.1197,0.1129,0.111,0.1306,0.1303,0.1324,0.1175
"Sar",0.1767,0.1855,0.1911,0.173,0.1699,0.1871,0.1785,0.1823,0.2109,0.1826,0.1831,0.1633,0.172,0.184,0.1823,0.1758,0.1796,0.1789,0.1568,0.1612,0.1757,0.1569,0.1711,0.1366,0.1658,0.173,0.1815,0.1555,0.1671,0.1445,0.1197,0,0.0327,0.0087,0.0877,0.0929,0.0913,0.0713
"Laz",0.1686,0.1833,0.196,0.1771,0.1615,0.1898,0.1834,0.1822,0.2179,0.1679,0.1749,0.153,0.1732,0.1787,0.17,0.17,0.1709,0.1731,0.1465,0.1552,0.1683,0.1442,0.1679,0.1324,0.1494,0.1628,0.1689,0.1426,0.1559,0.1328,0.1129,0.0327,0,0,0.1045,0.1122,0.1188,0.0979
"Tar",0.1703,0.1856,0.1937,0.1775,0.1624,0.1884,0.1845,0.1847,0.2245,0.1719,0.1777,0.1506,0.1722,0.1833,0.1704,0.167,0.1718,0.1674,0.1467,0.1589,0.1695,0.1466,0.1722,0.1302,0.1579,0.1649,0.1748,0.1498,0.1578,0.1354,0.111,0.0087,0,0,0.0993,0.1028,0.1044,0.0866
"Sky",0.1403,0.1367,0.149,0.1234,0.1232,0.1389,0.141,0.1348,0.1788,0.1445,0.1444,0.1403,0.1487,0.1619,0.1557,0.1588,0.1463,0.1506,0.1302,0.1367,0.1484,0.1424,0.156,0.1264,0.1479,0.1574,0.1577,0.1383,0.1446,0.1405,0.1306,0.0877,0.1045,0.0993,0,0,0,0.0047
"The",0.1289,0.1282,0.1388,0.1156,0.1121,0.1325,0.1331,0.1284,0.1715,0.1383,0.1393,0.1353,0.1429,0.1566,0.1488,0.1503,0.1401,0.1402,0.1252,0.134,0.1444,0.1397,0.1541,0.1235,0.1462,0.1523,0.1534,0.136,0.138,0.1359,0.1303,0.0929,0.1122,0.1028,0,0,0.0041,0.0018
"Tor",0.1334,0.13,0.1426,0.1173,0.1145,0.1316,0.1331,0.1296,0.1723,0.1382,0.1422,0.1354,0.1471,0.1573,0.1529,0.1553,0.1421,0.1474,0.1324,0.1401,0.149,0.1425,0.1566,0.1275,0.1481,0.1572,0.1567,0.1393,0.143,0.1411,0.1324,0.0913,0.1188,0.1044,0,0.0041,0,0.0075
"Ale",0.1195,0.1196,0.1321,0.1068,0.1078,0.1243,0.1227,0.1215,0.1642,0.1299,0.1305,0.1239,0.1337,0.1426,0.1404,0.142,0.1314,0.1308,0.1114,0.1221,0.1343,0.1256,0.1404,0.1112,0.1307,0.1418,0.1467,0.125,0.1279,0.1266,0.1175,0.0713,0.0979,0.0866,0.0047,0.0018,0.0075,0
